Result for strategy BigZ07
============================================================ BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|        Sell Reason |   Sells |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|--------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|                roi |     279 |    279     0     0   100 |           1.15 |         322.13 |            77.409 |          80.53 |
| trailing_stop_loss |      13 |      0     0    13     0 |         -13.03 |        -169.43 |           -41.076 |         -42.36 |
|         force_sell |       3 |      0     0     3     0 |          -6.94 |         -20.83 |            -6.044 |          -5.21 |
======================================================== LEFT OPEN TRADES REPORT =========================================================
|      Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|-----------+--------+----------------+----------------+-------------------+----------------+------------------+-------------------------|
|  XEM/USDT |      1 |          -3.05 |          -3.05 |            -0.878 |          -1.10 |          1:05:00 |     0     0     1     0 |
| IOTX/USDT |      1 |          -6.88 |          -6.88 |            -1.965 |          -2.46 |  1 day, 16:15:00 |     0     0     1     0 |
|  EOS/USDT |      1 |         -10.91 |         -10.91 |            -3.201 |          -4.00 |  6 days, 4:35:00 |     0     0     1     0 |
|     TOTAL |      3 |          -6.94 |         -20.83 |            -6.044 |          -7.56 | 2 days, 15:18:00 |     0     0     3     0 |
=============== SUMMARY METRICS ================
| Metric                 | Value               |
|------------------------+---------------------|
| Backtesting from       | 2021-06-01 00:00:00 |
| Backtesting to         | 2021-07-19 09:55:00 |
| Max open trades        | 4                   |
|                        |                     |
| Total/Daily Avg Trades | 295 / 6.15          |
| Starting balance       | 80.000 USDT         |
| Final balance          | 110.289 USDT        |
| Absolute profit        | 30.289 USDT         |
| Total profit %         | 37.86%              |
| Avg. stake amount      | 24.173 USDT         |
| Total trade volume     | 7131.134 USDT       |
|                        |                     |
| Best Pair              | GTO/USDT 13.61%     |
| Worst Pair             | PERP/USDT -50.46%   |
| Best trade             | ONG/USDT 2.8%       |
| Worst trade            | PERP/USDT -30.23%   |
| Best day               | 5.428 USDT          |
| Worst day              | -5.674 USDT         |
| Days win/draw/lose     | 38 / 1 / 10         |
| Avg. Duration Winners  | 3:02:00             |
| Avg. Duration Loser    | 1 day, 17:28:00     |
| Rejected Buy signals   | 58570               |
|                        |                     |
| Min balance            | 80.099 USDT         |
| Max balance            | 123.990 USDT        |
| Drawdown               | 45.75%              |
| Drawdown               | 13.702 USDT         |
| Drawdown high          | 43.990 USDT         |
| Drawdown low           | 30.289 USDT         |
| Drawdown Start         | 2021-07-15 11:15:00 |
| Drawdown End           | 2021-07-19 09:55:00 |
| Market change          | -26.82%             |
================================================

Result for strategy BigZ07_fix
============================================================ BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|  ALICE/USDT |      6 |           1.79 |          10.74 |             3.137 |           3.92 |         1:37:00 |     6     0     0   100 |
|   SAND/USDT |      8 |           1.43 |          11.41 |             2.981 |           3.73 |        10:34:00 |     8     0     0   100 |
